Division,ContractNo,ContractName,Customer,Sales_Rep,Product,Price
North America,CN-8244,Support Tier 1 Basic,Zeta Group,Heath,Support Tier 1,$6.94
EMEA,CN-5112,Support Tier 1 Basic,Gamma Sys,Daniel,Support Tier 1,$31.88
Public Sector,CN-1707,SaaS Basic Monthly,Beta Ltd,Steve,SaaS Basic,$5.33
Public Sector,CN-3997,SaaS Basic Monthly,Beta Ltd,Parker,SaaS Basic,$81.81
APAC,CN-4173,50GB Plan Monthly,Gamma Sys,Arthur,50GB Plan,$92.56
EMEA,CN-7013,Support Tier 1 Add-on,Zeta Group,Parker,Support Tier 1,$8.31
EMEA,CN-4477,API Call Bundle Entry-Level,Zeta Group,Vashon,API Call Bundle,$47.54
EMEA,CN-5541,50GB Plan Entry-Level,Beta Ltd,Arthur,50GB Plan,$90.87
North America,CN-5157,Support Tier 1 Add-on,Delta S.A.,Connor,Support Tier 1,$46.40
EMEA,CN-4220,Support Tier 1 Entry-Level,Gamma Sys,Arthur,Support Tier 1,$76.93
EMEA,CN-6704,SaaS Basic Add-on,Zeta Group,Niket,SaaS Basic,$85.44
Public Sector,CN-4776,API Call Bundle Standard,Alpha Corp,Daniel,API Call Bundle,$37.20
APAC,CN-4688,50GB Plan Add-on,Zeta Group,Rijo,50GB Plan,$9.17
Public Sector,CN-4316,SaaS Basic Standard,Zeta Group,Madhu,SaaS Basic,$27.67
LATAM,CN-5585,SaaS Basic Entry-Level,Delta S.A.,Abi,SaaS Basic,$81.04
EMEA,CN-9232,Support Tier 1 Monthly,Beta Ltd,Arthur,Support Tier 1,$25.90
APAC,CN-2389,SaaS Basic Standard,Epsilon Inc,Madhu,SaaS Basic,$79.99
Public Sector,CN-7889,50GB Plan Monthly,Epsilon Inc,Vashon,50GB Plan,$92.46
North America,CN-8848,SaaS Basic Basic,Epsilon Inc,Parker,SaaS Basic,$68.02
LATAM,CN-1464,API Call Bundle Entry-Level,Alpha Corp,Rijo,API Call Bundle,$8.50
Public Sector,CN-5293,50GB Plan Add-on,Beta Ltd,Arthur,50GB Plan,$13.16
APAC,CN-1494,Support Tier 1 Entry-Level,Delta S.A.,Arthur,Support Tier 1,$70.46
EMEA,CN-5209,SaaS Basic Basic,Delta S.A.,Vashon,SaaS Basic,$8.71
APAC,CN-9687,Firewall Lite Standard,Gamma Sys,Steve,Firewall Lite,$68.22
LATAM,CN-6066,50GB Plan Entry-Level,Beta Ltd,Rijo,50GB Plan,$42.52
Public Sector,CN-6592,50GB Plan Standard,Zeta Group,Connor,50GB Plan,$24.92
LATAM,CN-9925,SaaS Basic Entry-Level,Epsilon Inc,Parker,SaaS Basic,$97.11
APAC,CN-4410,Support Tier 1 Entry-Level,Gamma Sys,Niket,Support Tier 1,$21.50
APAC,CN-3347,SaaS Basic Add-on,Gamma Sys,Madhu,SaaS Basic,$25.83
North America,CN-4125,50GB Plan Monthly,Gamma Sys,Parker,50GB Plan,$90.82
EMEA,CN-5496,Firewall Lite Add-on,Beta Ltd,Steve,Firewall Lite,$78.49
APAC,CN-5469,API Call Bundle Monthly,Beta Ltd,Shiva,API Call Bundle,$96.92
North America,CN-6265,API Call Bundle Monthly,Epsilon Inc,Vashon,API Call Bundle,$43.86
LATAM,CN-9150,API Call Bundle Monthly,Delta S.A.,Arthur,API Call Bundle,$58.12
APAC,CN-1982,50GB Plan Standard,Gamma Sys,Rijo,50GB Plan,$14.36
Public Sector,CN-5664,50GB Plan Standard,Beta Ltd,Vashon,50GB Plan,$98.77
North America,CN-6245,Firewall Lite Standard,Alpha Corp,Niket,Firewall Lite,$35.21
North America,CN-6980,50GB Plan Add-on,Epsilon Inc,Heath,50GB Plan,$65.33
APAC,CN-8610,Firewall Lite Entry-Level,Gamma Sys,Arthur,Firewall Lite,$17.53
LATAM,CN-4144,Firewall Lite Standard,Delta S.A.,Connor,Firewall Lite,$38.24
Public Sector,CN-2134,50GB Plan Entry-Level,Alpha Corp,Steve,50GB Plan,$54.68
EMEA,CN-6172,API Call Bundle Basic,Alpha Corp,Arthur,API Call Bundle,$90.82
North America,CN-7363,Firewall Lite Entry-Level,Zeta Group,Rijo,Firewall Lite,$25.86
APAC,CN-5161,API Call Bundle Entry-Level,Beta Ltd,Daniel,API Call Bundle,$64.78
APAC,CN-3062,SaaS Basic Monthly,Zeta Group,Daniel,SaaS Basic,$80.33
EMEA,CN-5332,Firewall Lite Add-on,Beta Ltd,Connor,Firewall Lite,$97.92
North America,CN-3848,Firewall Lite Standard,Alpha Corp,Rijo,Firewall Lite,$41.69
Public Sector,CN-3171,50GB Plan Basic,Beta Ltd,Rijo,50GB Plan,$59.24
North America,CN-9027,SaaS Basic Basic,Alpha Corp,Steve,SaaS Basic,$90.33
EMEA,CN-7395,SaaS Basic Monthly,Alpha Corp,Heath,SaaS Basic,$42.55
North America,CN-4338,Support Tier 1 Add-on,Beta Ltd,Vashon,Support Tier 1,$75.92
North America,CN-1515,50GB Plan Basic,Delta S.A.,Parker,50GB Plan,$6.31
APAC,CN-9687,SaaS Basic Monthly,Gamma Sys,Parker,SaaS Basic,$91.23
LATAM,CN-9519,SaaS Basic Monthly,Gamma Sys,Niket,SaaS Basic,$50.34
APAC,CN-7265,50GB Plan Standard,Beta Ltd,Madhu,50GB Plan,$62.90
EMEA,CN-1580,Support Tier 1 Entry-Level,Alpha Corp,Parker,Support Tier 1,$38.89
Public Sector,CN-9078,SaaS Basic Standard,Epsilon Inc,Niket,SaaS Basic,$45.95
EMEA,CN-3955,50GB Plan Add-on,Delta S.A.,Daniel,50GB Plan,$15.77
LATAM,CN-6537,SaaS Basic Add-on,Zeta Group,Vashon,SaaS Basic,$99.94
LATAM,CN-5667,Support Tier 1 Basic,Gamma Sys,Vashon,Support Tier 1,$45.46
LATAM,CN-3067,API Call Bundle Standard,Zeta Group,Steve,API Call Bundle,$55.99
LATAM,CN-5531,Support Tier 1 Standard,Zeta Group,Steve,Support Tier 1,$31.22
Public Sector,CN-4670,Firewall Lite Basic,Epsilon Inc,Niket,Firewall Lite,$36.43
LATAM,CN-6031,Support Tier 1 Basic,Delta S.A.,Abi,Support Tier 1,$89.21
North America,CN-6354,Support Tier 1 Add-on,Gamma Sys,Vashon,Support Tier 1,$99.05
Public Sector,CN-7739,Firewall Lite Entry-Level,Delta S.A.,Steve,Firewall Lite,$36.23
North America,CN-3474,API Call Bundle Standard,Epsilon Inc,Shiva,API Call Bundle,$5.05
EMEA,CN-1528,50GB Plan Standard,Alpha Corp,Abi,50GB Plan,$85.14
EMEA,CN-2447,50GB Plan Monthly,Alpha Corp,Arthur,50GB Plan,$29.90
LATAM,CN-5466,API Call Bundle Standard,Epsilon Inc,Niket,API Call Bundle,$93.17
