index,contract_no,division,product_name,customer,sales_rep,price
0,CNT-92225802,Central,#67 Stone,"Anderson, Wolfe and Barnett",Madhu,34.54
1,CNT-37315037,NorthEast,#4 Stone,Austin-Jones,Steve,11.76
2,CNT-73876193,East,#57 Stone,Smith Group,Arthur,35.67
3,CNT-76579998,SouthWest,#4 Stone,"Bell, Peterson and Mejia",Abi,19.97
4,CNT-15936071,SouthWest,#67 Stone,Lopez PLC,Steve,17.27
5,CNT-73734656,SouthWest,#57 Stone,Roberts Group,Parker,44.18
6,CNT-85504608,East,Mason Sand,"Hall, Allen and Clark",Rijo,10.07
7,CNT-18535969,NorthEast,Concrete Sand,Carter and Sons,Vashon,10.57
8,CNT-67552573,West,Rip Rap,Trujillo Ltd,Arthur,42.29
9,CNT-78230262,East,#67 Stone,Aguilar-Carroll,Vashon,16.7
10,CNT-61507265,NorthEast,Mason Sand,Moss-Duran,Abi,24.69
11,CNT-28862366,West,#67 Stone,Smith-Baker,Abi,26.32
12,CNT-91461943,Central,ABC Stone,"Richardson, Williams and Barnes",Connor,38.51
13,CNT-92102063,West,Mason Sand,"Kim, Romero and Wilson",Vashon,21.44
14,CNT-06412682,West,Railroad Ballast,"Wilson, Gates and Welch",Niket,40.06
15,CNT-66027088,West,ABC Stone,Garcia LLC,Steve,18.76
16,CNT-81442091,East,#67 Stone,Young-Moore,Rijo,10.37
17,CNT-75940612,NorthEast,Concrete Sand,Bowman and Sons,Niket,47.8
18,CNT-72142127,East,Concrete Sand,Berry Ltd,Shiva,35.1
19,CNT-33951417,Central,Mason Sand,Contreras and Sons,Abi,22.43
20,CNT-74104340,SouthWest,Pea Gravel,"Summers, Stevens and Brown",Rijo,18.2
21,CNT-95701221,East,Rip Rap,Schaefer-Turner,Niket,28.16
22,CNT-13372649,SouthWest,#57 Stone,Daniels-Schultz,Steve,35.84
23,CNT-91999504,West,Rip Rap,"Williams, Suarez and Smith",Connor,20.21
24,CNT-02004046,West,Railroad Ballast,Mendoza Group,Connor,10.85
25,CNT-50656028,SouthWest,Mason Sand,"Moore, Brown and Tyler",Shiva,41.61
26,CNT-93650023,Central,Concrete Sand,Skinner Inc,Abi,25.04
27,CNT-62282290,East,Mason Sand,Hicks-Dominguez,Arthur,12.95
28,CNT-78765617,East,Mason Sand,Harris-Francis,Parker,12.54
29,CNT-99381201,Central,Surge Stone,"Warner, Obrien and Rodriguez",Rijo,14.53
30,CNT-22443526,East,ABC Stone,"Parker, Chapman and Thomas",Steve,37.91
31,CNT-63439801,Central,Screenings,Boyd PLC,Daniel,45.89
32,CNT-10704759,East,ABC Stone,Anderson Group,Parker,43.54
33,CNT-02781751,Central,Mason Sand,Parrish-Dominguez,Daniel,24.49
34,CNT-77392169,SouthWest,Concrete Sand,Baker-Thompson,Rijo,32.7
35,CNT-20566424,East,Concrete Sand,Jensen PLC,Parker,16.29
36,CNT-39266860,East,#4 Stone,Raymond LLC,Rijo,13.68
37,CNT-00579053,NorthEast,ABC Stone,"Mckay, Martinez and Davidson",Shiva,36.61
38,CNT-59692933,NorthEast,Railroad Ballast,"Kelly, Molina and Rivas",Vashon,44.3
39,CNT-68859433,NorthEast,Screenings,Moore-Davila,Daniel,18.7
40,CNT-69824333,NorthEast,Mason Sand,Bullock Group,Abi,15.57
41,CNT-05312952,NorthEast,Surge Stone,Baxter-Johnston,Vashon,38.91
42,CNT-89877337,NorthEast,Pea Gravel,Ayala-Choi,Madhu,35.82
43,CNT-33481518,West,#67 Stone,"Ali, Mason and Allen",Parker,39.95
44,CNT-77539765,East,Screenings,Jones and Sons,Abi,16.61
45,CNT-90981114,SouthWest,Concrete Sand,Evans-Herrera,Connor,15.6
46,CNT-60181977,East,Concrete Sand,Gray-Dawson,Heath,47.06
47,CNT-52273211,NorthEast,Mason Sand,"Hall, Clements and West",Vashon,10.58
48,CNT-83267829,East,Surge Stone,Gibson-Jackson,Heath,37.34
49,CNT-90400375,West,Surge Stone,Robinson-Page,Vashon,41.25
50,CNT-64395042,SouthWest,ABC Stone,Murphy-Rogers,Arthur,11.45
51,CNT-57489689,East,#4 Stone,"Rush, Jackson and Doyle",Abi,10.14
52,CNT-01619839,SouthWest,#4 Stone,"Cobb, Dickerson and Walker",Vashon,36.43
53,CNT-29688316,West,Pea Gravel,Estes-Cooper,Parker,13.27
54,CNT-68935212,SouthWest,#57 Stone,"Allen, Moss and White",Steve,46.83
55,CNT-06216414,SouthWest,ABC Stone,Smith LLC,Parker,16.04
56,CNT-15399776,NorthEast,Rip Rap,"Collier, Lewis and Ruiz",Madhu,38.81
57,CNT-31468730,SouthWest,Concrete Sand,Rice PLC,Vashon,48.54
58,CNT-46202014,NorthEast,ABC Stone,Harvey Group,Rijo,47.73
59,CNT-03482660,Central,#4 Stone,Pineda-Thomas,Arthur,42.61
60,CNT-17622885,Central,Railroad Ballast,Rice-Robinson,Shiva,33.64
61,CNT-52285056,NorthEast,Concrete Sand,Frazier-Wood,Rijo,21.7
62,CNT-82204095,NorthEast,Mason Sand,"Solomon, Thomas and Fields",Steve,27.75
63,CNT-90701626,NorthEast,Surge Stone,Diaz and Sons,Niket,48.63
64,CNT-02725462,Central,Rip Rap,"Oliver, Hinton and Hood",Niket,23.9
65,CNT-48772048,SouthWest,Screenings,"Downs, Bush and Thompson",Abi,40.57
66,CNT-06401523,West,Concrete Sand,Alexander PLC,Steve,18.55
67,CNT-89640275,Central,Pea Gravel,Lane PLC,Vashon,27.64
68,CNT-41362298,West,#4 Stone,Trevino-Lopez,Heath,48.25
69,CNT-50618069,NorthEast,Surge Stone,Williams-Thomas,Rijo,19.56
70,CNT-78284433,SouthWest,#4 Stone,"Johnson, Burns and Matthews",Connor,18.51
71,CNT-71824945,SouthWest,#57 Stone,Sharp-Wells,Shiva,15.4
72,CNT-98403340,West,#67 Stone,Jones-Green,Rijo,33.31
73,CNT-01592841,Central,Railroad Ballast,"Wright, Johnson and Sims",Rijo,41.26
74,CNT-78497333,West,Mason Sand,White PLC,Daniel,41.36
75,CNT-45014687,East,Surge Stone,Pitts-Peters,Vashon,31.84
76,CNT-78600272,West,#4 Stone,Collins LLC,Arthur,11.07
77,CNT-18523562,East,Railroad Ballast,Sanchez-Wright,Arthur,48.19
78,CNT-58125719,Central,Rip Rap,Rogers and Sons,Vashon,25.32
79,CNT-45125160,West,Surge Stone,Smith Group,Shiva,27.33
80,CNT-85394406,Central,#67 Stone,Hodge Group,Shiva,18.62
81,CNT-75437730,NorthEast,Pea Gravel,Williams-Santiago,Madhu,42.32
